padress,pclass,plink,pname,pnum,preq,pres,ptime
深圳,职能类,position_detail.php?id=46994&keywords=&tid=0&lid=0,26833-组织发展经理（深圳）,4,负责腾讯云计算在“互联网+”领域的商务工作；负责大客户关系管理、合作伙伴关系管理和区域市场维护；聚焦在互联网/视频/金融/电商等特定领域，制定并推动区域/行业/重点客户的市场拓展计划的执行，以达成公司制定的任务目标和KPI考核目标；整合公司内部资源，提供最佳互联网+行业解决方案;英语可以作为工作语言,本科及以上学历，毕业后有IT项目开发集成经验者优先；5年以上相关工作经验，对传统IT有深刻的认识，对互联网+有一定的了解，熟悉云计算、大数据分析和移动互联网，对新技术、新商业模式有激情；有较强的分析能力和创新精神，有行业经验者优先；有较强的沟通协调能力，具备良好的团队合作精神，执行能力强，勇于承担高强度的工作压力；,2019-01-12
深圳,职能类,position_detail.php?id=46994&keywords=&tid=0&lid=0,26833-组织发展经理（深圳）,4,拥有实际的游戏开发项目经验；对各种题材与文化都有深度涉猎，无论是科幻奇幻还是武侠或现代题材都能有所创作；游戏有深刻的理解与独到的见解，能够明白一款好游戏是如何从各个层面上打磨并诞生的；拥有世界观撰写与角色设定的经验；拥有较强的原创能力，能够自主的发想游戏创意；对武侠题材有专精者优先；有编剧能力者优先。,负责新游戏IP内容力的打造与原创衍生作品的产出；分析游戏产品并提供建设性意见；修改，撰写和搭建游戏世界观；创作漫画，视频等衍生原创作品。,2019-01-12
深圳,职能类,position_detail.php?id=46994&keywords=&tid=0&lid=0,26833-组织发展经理（深圳）,4,3年以上互联网数据类产品经理工作经验，计算机或相关专业本科以上学历； 拥有云大数据相关产品、数据治理相关产品经验优先； 具有独立产品管理经验，能熟练使用Axure、Word、Excel、PPT等工具； 了解技术语言，具备优秀的想象力和逻辑思维能力； 积极乐观，沟通表达优秀，执行力强。,负责腾讯云智慧教育大数据中心产品功能策划、文档输出、客户宣讲； 负责用户调研、需求分析、数据分析； 负责开发、测试对接，版本控制等工作。,2019-01-12
深圳,职能类,position_detail.php?id=46994&keywords=&tid=0&lid=0,26833-组织发展经理（深圳）,4,大学本科以上学历，音乐，舞蹈类视频内容运营相关工作经验；对PGC及MCN业务了解，并具有一定的行业资源；对数据敏感，能够做有效的提炼分析和优化方案，并有高效的执行推动能力；有脑洞、有创意，对从事相关品类工作能够乐在其中。,1、拓展音乐，舞蹈品类优质内容，包括个人、媒体、机构等；2、负责音乐，舞蹈品类的日常运营工作，包括制定运营方向、策略，根据运营目标制定执行方案；3、提高音乐，舞蹈品类内容活跃度，掌握行业热点，引导用户生产。,2019-01-12
深圳,职能类,position_detail.php?id=46994&keywords=&tid=0&lid=0,26833-组织发展经理（深圳）,4,1.热爱游戏，1年以上游戏玩法/关卡策划经验，MMO或者主机工作经验优先；2.善于思考，有良好的创造能力，能够汲取灵感运用于游戏设计3.良好的逻辑能力，书面和口头表达能力，善于把创意变为可执行的方案4.具备抗压能力，良好的沟通能力，有很好的合作意识和责任心，可以与各个流程上的开发人员实现良好的合作5.丰富的MMO或主机游戏经验优先，有编程经验或理工科教育背景优先,1.MMORPG游戏设计，负责游戏中PVP、PVE体验的玩法设计，以及具体关卡/怪物AI制作开发；2.负责玩法相关的资源制作跟进和开发逻辑实现，并对玩法的最终玩家体验负责；3.上线后进行分析反馈，迭代优化玩家体验,2019-01-12
深圳,职能类,position_detail.php?id=46994&keywords=&tid=0&lid=0,26833-组织发展经理（深圳）,4,1、本科及以上学历，2年以上工作经验，对调研/咨询/研究行业的项目有理解更佳；2、主动性强，擅于沟通，兼具亲和力和号召力，具有系统性的规划和思考能力，优秀的推动力和较强的统筹能力；3、能够与多个团队良好合作，能进行多线程工作管理，遇到问题积极寻找解决方案，工作上能不断自我挑战和提升；4、热爱互联网，热爱游戏，懂研究，熟悉产品策划与运营者优先；,1、部门内外资源管理：负责部门内包括研究费用等的申报，日常管理与统筹，同时协助对接外部研究CP管理，拓展新的调研渠道和方法；2、外包人员能力建设及考核管理：问卷录入外包人员，用户招募外包人员等的招聘，考核，培训，日常管理等；3、部门运营数据&流程规范：部门关键运营数据的梳理，汇报，协助制定相关的管理流程和规范，并监督执行，反馈执行情况；4、内部项目管理系统的管理，新需求收集和迭代优化。,2019-01-12
深圳,职能类,position_detail.php?id=46994&keywords=&tid=0&lid=0,26833-组织发展经理（深圳）,4,热爱游戏和游戏研发，对游戏行业具备广泛知识；为人坦诚，理性，务实，具有良好的沟通能力和沟通技巧；具有良好的逻辑思考分析能力；熟练掌握各种相关软件和工具，如：Office系列含Project，Visio；Adobe系列如Photoshop，Illustrator；Jira；Perforce；Mac系统的iWork系列；Omni系列等等具有至少3个以上上线游戏产品的完整研发或发行经验担任过项目经理，研发制作人，产品经理，或发行制作人及以上的经验，有跨国跨文化团队管理经验尤佳深度理解游戏产品研发的客观规律；深度理解游戏研发团队的架构和流程；深度理解游戏产品发行和运营的方法；深度理解瀑布式和敏捷式项目管理方法；熟悉欧美市场游戏研发和发行运营方法，有实际执行经验的尤佳；具有中型或大型游戏公司的工作经验，曾经独立负责多部门合作完成目标；深度理解公司运作中各部门的责任和定位，能够优化相关合作流程以提高合作效率；具有良好的规划和总结汇报能力；熟练掌握英语或日语，听读说写流利。,参与整包项目筛选和启动的决策，评估整包项目提案，对提案内容及团队素质提出专业客观意见；被任命监管指定整包项目，阶段性常驻研发团队，与项目核心团队紧密沟通，确保项目方向，品质，进度可控；与公司各部门沟通合作，确保与自己负责的整包项目相关的信息沟通顺畅，包括且不限于：NEXT Studios对项目内容和品质的宏观管理，发行部门需求和用户市场反馈，合同及财务相关信息等；管理优化相关部门对项目的意见和需求，根据项目阶段梳理信息优先级，及时并准确传达给团队，同时管理信息反馈，确保各方保持共识；及时发现项目或团队可能出现的风险并提出预警，协调各部门资源及时启动风险控制方案。,2019-01-12
深圳,职能类,position_detail.php?id=46994&keywords=&tid=0&lid=0,26833-组织发展经理（深圳）,4,本科及以上学历；5年及以上相关工作经验；认同公司企业文化，敬业和自我激励；较好系统性思维、善于分析、提炼总结，及快速学习能力；良好的口头和书面表达能力、沟通协调和组织能力；客户导向强，良好的团队合作意识和能力，同时具备较强的推动及执行能力；具有组织有效性评估诊断、组织设计及组织变革、集团管控等相关专业知识及项目运作经验者优先；兼具知名人力资源咨询公司工作经验及企业组织发展工作经验者优先。,组织有效性相关产品研发及专业服务，包括：参与或主导在组织有效性评估、组织诊断、组织设计等方面相关工具产品的研发及推广；根据公司发展的需要，针对行业标杆企业做有针对性的组织研究，为公司未来的组织发展和优化提供有价值的参考或根据需要给出专业的建议，同时，配合组织发展总监结合腾讯集团内部不同的事业群、线和部门，梳理和总结组织设计的最佳实践，为公司内部组织优化提供参考；参与及协助公司级、事业群级组织有效性诊断和并提供有效的解决方案，配合事业群、线或重点业务部门的发展需要，根据项目的规模和复杂性，作为Co-PM或核心项目成员主导或参与到组织有效性诊断的项目中，为内部客户提供专业的解决方案；组织设计和优化赋能：协助对项目、管理实践等进行案例总结及做好知识管理、资源库的建立；设计及开发各种形式的针对HRD、OD、BP等同事的组织评估、设计、优化工具及方法等相关专业知识和技术的赋能。,2019-01-12
深圳,职能类,position_detail.php?id=46994&keywords=&tid=0&lid=0,26833-组织发展经理（深圳）,4,本科及以上学历，有CDN，云计算，人工智能，大数据等销售经验者优先； 要求对智能终端行业有一定的了解，熟悉云计算、大数据分析和移动互联网，对新技术、新商业模式有激情； 有较强的分析能力和创新精神，有行业经验者优先； 有较强的沟通协调能力，具备良好的团队合作精神，执行能力强，勇于承担高强度的工作压力； 能适应经常性出差。,负责腾讯云计算在“智能终端设”领域的商务拓展工作； 聚焦手机等智能终端厂商的开拓及维护； 制定并推动重点客户的市场拓展计划的执行，以达成公司制定的任务目标和KPI考核目标。,2019-01-12
上海,市场类,position_detail.php?id=46955&keywords=&tid=0&lid=0,CSIG16-车联网商务经理（4S店拓展）,1,"本科及以上学历，计算机或相关专业，3年以上Linux运维工作经验；熟练使用Bash、Python等脚本语言；以下基本能力至少具备1种或以上：a)熟悉Linux内核，对内核网络、存储、文件系统、内存、调度器，Cgroup等模块之一有过相关实践；对KVM/Xen等虚拟化技术有过深入了解；了解KVM CPU，内存，IO的处理流程；熟练使用Linux底层工具链，了解其原理，熟悉某一CPU体系结构，熟悉底层性能调优，对网络/存储等协议栈以及协议精通；b)精通STP、TCP/IP、OSPF、BGP、ISIS、MPLS VPN／TE等协议，熟悉大规模IDC及骨干网络架构，熟悉全球主流运营商网络结构；熟悉Cisco、Juniper、H3C等主流网络厂商产品技术及产品架构；熟悉路由器/交换机工作原理，熟悉NAT、VPN、负载均衡、SDN、NFV、overlay等网络技术，并有较强的故障分析排查能力和丰富的处理经验；c)可对Linux下DB实例进行包括不限于DB及OS Kernel等软硬件相关参数各种调优，精通数据库配置、备份、优化、监控；熟练使用 LINUX，能进行PL/SQL, shell 或者 python 编程, 熟悉存储及网络相关知识；d)熟悉分布式系统理论，有大规模分布式存储系统架构经验；熟悉业界分布式存储，包括HDFS/Ceph/InfluxDB/Druid/ElasticSearch等；e)有运营过rabbitmq，kafka等相关系统2年以上经验；有微服务相关项目经验，对serverless相关有较深了解；熟悉AWS lambda、Google Function、Azure Function等产品者优先；f)熟悉大型Web系统架构，以及相关应用的部署调优，包括：Web服务器、负载均衡、消息队列、数据库、高可用解决方案等；熟悉Docker容器的原理及相关技术，深入了解K8S等容器集群管理方案；熟悉常见的监控系统，对WAF，DDOS有一定的认识；有较好的表达和沟通能力，和逻辑思考能力，能够现场解决客户的问题，并能够承受一线客户的压力。",负责云相关产品的发布变更、故障处理等日常运维工作，保障系统7*24小时稳定运行；负责应急预案、业务容灾和故障恢复策略方案的制定与实施；深入理解产品的架构， 发现并解决故障隐患及性能瓶颈，参与架构优化、容灾优化、性能优化等项目；负责各个项目的运维问题跟踪与管理，推进运维自动化工具开发，提高运维效率和质量；负责编写产品运维手册，对接合作伙伴的沟通和培训，培养出高质量的运维合作伙伴团队；指导区域交付团队进行项目交付，负责交付过程中的联调和问题排查。,2019-01-12
